Chain,Size,MAE,MAPE,Len_forecast
5-node,700,0.12803267468528573,15.455912213479731,50
ridge,10,0.05295007780095815,6.670469757030208,100
ridge,50,0.0527539423350529,6.652862840770032,100
ridge,100,0.05527117737429317,6.936327672152354,100
ridge,150,0.05868748530932809,7.317823412689667,100
ridge,200,0.049184460480236225,6.16456816597664,100
ridge,400,0.09610790515541137,11.80204852065985,100
ridge,500,0.08357258252084393,10.289808374888796,100
ridge,700,0.07678469775485355,9.457110380026863,100
3-node,10,0.06318643621801781,8.067484676065739,100
3-node,50,0.0583705075580919,7.541804036131518,100
3-node,100,0.1030889183984903,13.233485458472805,100
3-node,150,0.07877823489833378,10.124826000365777,100
3-node,200,0.0560528700828819,7.023732540641883,100
3-node,400,0.07709409775169605,9.532207115421693,100
3-node,500,0.06386265112502656,7.912102734595036,100
3-node,700,0.0809658986731809,10.026113287188043,100
5-node,10,0.043879694806011386,5.568277751274563,100
5-node,50,0.04721761426045856,6.01124891692186,100
5-node,100,0.11117314931128566,14.042115724804265,100
5-node,150,0.13176761996513098,16.55562590768329,100
5-node,200,0.09730076843997146,12.210181892617463,100
5-node,400,0.13982740730295162,17.165958191397888,100
5-node,500,0.18422967936090187,22.578787070455743,100
5-node,700,0.1749205503652883,21.469248886910947,100
ridge,10,0.07502455064999375,10.58763710365841,150
ridge,50,0.07469034849835796,10.556681689878275,150
ridge,100,0.07442257961375615,10.473054752728958,150
ridge,150,0.07711048846119044,10.695162670768795,150
ridge,200,0.06623912198225802,9.406707128108309,150
ridge,400,0.08713359668923971,11.90783102365169,150
ridge,500,0.07611882442058916,10.618765987435978,150
ridge,700,0.07469350889083931,10.422905551186776,150
3-node,10,0.10313752793011134,14.563206657472533,150
3-node,50,0.1125480992346074,15.70605396098092,150
3-node,100,0.13786685355009376,19.38671639976015,150
3-node,150,0.09148291009510753,13.130545504939475,150
3-node,200,0.06659248441728292,9.538573221636625,150
3-node,400,0.0631932246119352,9.004033133596707,150
3-node,500,0.06310975795662882,9.023013776607918,150
3-node,700,0.0839314255695695,11.719091794588255,150
5-node,10,0.07315680436328549,10.36777897399638,150
5-node,50,0.08000743877169152,11.293055596653858,150
5-node,100,0.1675469628057524,22.686089435210533,150
5-node,150,0.18201509005951064,24.552876802210726,150
5-node,200,0.18345224295545745,24.369538728745844,150
5-node,400,0.10508738867215205,14.23362954429653,150
